Last Name	First Name	Affiliation	Country
Lee	Songkyo	Iowa State University	United States
Lee	Sookhyun	Iowa State University	United States
Lee	Yen-Jie	Massachusetts Inst. of Technology (US)	United States
Lehner	Sebastian	Austrian Academy of Sciences (AT)	Austria
Leung	Yue Hang	Stony Brook University	United States
Levai	Peter	MTA Wigner RCP	Hungary
Li	Haitao	Los Alamos National Laboratory	United States
Li	Shi-Yuan	Shandong University	China
Li	Shiyong	University of Illinois at Chicago	United States
Li	Wei	Rice University (US)	United States
Li	Wei	Shanghai Institute of Applied Physics, Chinese Academy of Sciences	China
Li	Xin	University of Science and Technology of China	China
Liang	Yue	Kent State Univesrsity & Lawrence Berkeley National Laboratory	United States
Liao	Jinfeng	Indiana University	United States
Lim	Bong-Hwi	Pusan National University (KR)	South Korea
Lim	Sanghoon	University of Colorado Boulder	United States
Lin	Zi-Wei	East Carolina University, Central China Normal University	United States
Lipiec	Andrzej	Warsaw University of Technology	Poland
Liu	Feng	Central China Normal University	China
Liu	Peng	Shanghai Institute of Applied Physics, Chinese Academy of Sciences	United States
Liu	Shuai	Texas A&M University	United States
Liu	Zhen	USTC/BNL	China
Llope	W.J.	Wayne State University (US)	United States
Loizides	Constantinos	ORNL	United States
Lombardo	Maria Paola	INFN	Italy
Lopez	Jorge	Federico Santa Maria Technical University (CL)	Germany
Lorenz	Manuel	University Frankfurt	Germany
Lorenzo	Alessandra	Universita e INFN, Bologna (IT)	Italy
Lunardon	Marcello	University of Padova and INFN Sezione di Padova	Italy
Luo	Ao	Central China Normal University	China
Luo	Tan	CCNU	China
Luo	Xiaofeng	Central China Normal University	China
Luparello	Grazia	INFN Trieste (IT)	Italy
Luzum	Matthew	University of São Paulo	Brazil
Lyuboshitz	Valery	Joint Institute for Nuclear Research, Dubna	Russia
Lökös	Sándor	Eötvös University, Budapest and Eszterházy University, Gyöngyös	Hungary
Lühder	Jens	Institut für Kernphysik, university muenster	Germany
Ma	Guo-Liang	Shanghai Institute of Applied Physics, CAS	China
Ma	Long	Fudan University	China
Ma	Rongrong	BNL	United States
Mace	Mark	Stony Brook University/Brookhaven National Lab	United States
Magas	Volodymyr	University of Barcelona	Spain
Mahmoud	Tariq	University of Bonn (DE)	Germany
Majumder	Abhijit	Wayne State University	United States
Makiyama	Takahiro	Yuge college	Japan
Maksiak	Bartosz	Warsaw University of Technology, Faculty of Physics	Poland
Maksymiuk	Ewa	Jan Kochanowski University	Poland
Malecki	Bartosz Piotr	Polish Academy of Sciences (PL)	Poland
Mallick	Dukhishyam	National Institute of Science Education and Research (IN)	India
manca	giulia	University of Cagliari and INFN	Italy
Mantovani Sarti	Valentina	Technische Universitaet Muenchen (DE)	Germany
Manzari	Vito	INFN - Bari	Italy
Mao	Yaxian	Central China Normal University CCNU (CN)	China
Marcinek	Antoni	Polish Academy of Sciences (PL)	Poland
Margetis	Spyridon	Kent State University	United States
Margutti	Jacopo	Utrecht University (NL)	Netherlands
Marin	Ana	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Markert	Christina	University of Texas at Austin	United States
Marquet	Cyrille	Ecole Polytechnique & CNRS	France
Martinez Guerrero	Mauricio	North Carolina State University	United States
Masciocchi	Silvia	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Masera	Massimo	Universita e INFN Torino (IT)	Italy
Masson	Erwann	Subatech, IN2P3-CNRS (FR)	France
Mastroserio	Annalisa	Universita e INFN, Bari (IT)	Italy
Matonoha	Oliver	Czech Technical University in Prague	Sweden
Matsuda	Hidefumi	Kyoto University	Japan
Matveev	Victor	Joint Institute for Nuclear Research	Russia
Matyja	Adam	Institute on Nuclear Physics, PAN, Cracow	Poland
Mayer	Christoph	Polish Academy of Sciences (PL)	Poland
Mazeliauskas	Aleksas	Universität Heidelberg	Germany
Mazzilli	Marianna	Universita e INFN, Bari (IT)	Italy
mazzoni	maria alessandra	Sapienza Universita e INFN, Roma I (IT)	Italy
Mc Ginn	Christopher	Massachusetts Inst. of Technology (US)	United States
Mc Glinchey	Darren Craig	Los Alamos National Laboratory	United States
McDonald	Scott	McGill University	Canada
McLerran	Larry	Institute for Nuclear Theory	United States
McNelis	Michael	The Ohio State University	United States
Meiring	Ben	University of Oxford	United Kingdom
Mendes	Melissa	McGill University	Canada
Meninno	Elisa	Universita e INFN, Salerno (IT)	Italy
Merzlaya	Anastasia	Jagiellonian University (PL), St Petersburg State University (RU),	Poland
Mezzetto	Mauro	INFN Padova	Italy
Micheletti	Luca	Università & INFN Torino	Italy
Milhano	Guilherme	LIP-Lisbon & CERN TH	Portugal
Milov	Alexander	Weizmann Institute of Science (IL)	Israel
Minissale	Vincenzo	INFN - National Institute for Nuclear Physics	Italy
Mishra	Aditya Nath	ICN-UNAM	Mexico
Mohammadi	Naghmeh	CERN	Switzerland
Mohanty	Auro	Utrecht University (NL)	Netherlands
Mohanty	Bedangadas	National Institute of Science Education and Research (IN)	India
Mohs	Justin	Frankfurt Institute for Advanced Studies	Germany
Molnar	Denes	Purdue University	United States
