Session/Category,Title,Speaker,Institute,Country
,Studying saturation dynamics and hotspot fluctuations in ultrarelativistic heavy-ion collisions with neural networks,Henry Hirvonen,Vanderbilt University,Germany
,Studying saturation dynamics and hotspot fluctuations in ultrarelativistic heavy-ion collisions with neural networks,Jussi Auvinen,University of Jyväskylä,Italy
,Studying saturation dynamics and hotspot fluctuations in ultrarelativistic heavy-ion collisions with neural networks,Kari J. Eskola,University of Jyväskylä,Italy
,Studying saturation dynamics and hotspot fluctuations in ultrarelativistic heavy-ion collisions with neural networks,Yuuka Kanakubo,RIKEN iTHEMS,Japan
,The moat regime in QCD,Shi Yin,"Institute for Theoretical Physics, Justus Liebig University Giessen",USA
,Quasi-normal modes of non-thermal fixed points,Matisse De Lescluze,No affiliation,Unknown
,Study of Heavy Quark Momentum Broadening in a Non-Abelian Plasma away from Thermal Equilibrium,Harshit Pandey,"The Institute of Mathematical Sciences, Chennai, India",Italy
,Locating the QCD critical point from the universal scaling of the Lee-Yang edge,Christian Schmidt,Bielefeld University,Italy
,Probing the medium with heavy quarks using EFT,Jyotirmoy Roy,No affiliation,Unknown
,Stochastic baryon charge transport in relativistic hydrodynamics,Baochi Fu,No affiliation,Unknown
,Exploring dense nuclear matter at J-PARC heavy ion project,Morino Y,KEK-IPNS,Japan
,Improving Charge Ratio’s Sensitivity to Hadronization via Jet Substructure,Nuno Olavo Gonçalves Mendes Madureira,LIP/IST,LIP/IST
,Probing of Equation-of-State at High Baryon Density with Baryons and (Hyper)nuclei with the PHQMD Model,yingjie zhou,No affiliation,Unknown
,Apples to Apples in Jet Quenching: Underlying Event Considerations for Phenomenological Jet Studies in Heavy-Ion Collisions,João A. Gonçalves,LIP - IST,LIP - IST
,Toward the Origin of Mass at J-PARC E16 via Density-induced Chiral Mixing in Di-Lepton Production,Ren Ejima,Hiroshima University (JP),Japan
,Does the pre-equilibrium phase matter for the determination of nuclear geometry in high-energy isobar collisions?,Kevin  P. Pala,No affiliation,Unknown
,The kaon anomaly in high-energy collisions,Francesco Giacosa,Kielce University,Italy
,Quarkonia Spectral Function at Finite Momenta,Pavan Pavan,No affiliation,Unknown
,New results on identified hadron production in central Xe+La collisions from NA61/SHINE at CERN SPS,Oleksandra Panova,Jan Kochanowski University (PL),PL
,Thermal resonances and the QCD phase diagram,ANDREA VIOQUE RODRIGUEZ,Universidad Complutense Madrid,Poland
,A general framework for causality and stability in perfect relativistic spin fluids,Nick Abboud,University of Illinois at Urbana-Champaign,Italy
,Thermal dilepton polarization and microscopic dynamics in the QCD plasma,Han Gao,No affiliation,Unknown
,Thermal dilepton polarization and microscopic dynamics in the QCD plasma,Xiang-Yu Wu,McGill University,Italy
,Rapidity-dependent QGP equilibration in QCD kinetic theory,Aleksas Mazeliauskas,No affiliation,Unknown
,Rapidity-dependent QGP equilibration in QCD kinetic theory,Luyao Fabian Zhou,ITP Heidelberg,Germany
,An in-medium potential for X(3872),Víctor López Pardo,No affiliation,Unknown
,Understanding properties of the Dirac eigenspectrum in QCD and approach to thermalization,Ravi Shanker,The Institute of Mathematical Sciences,Italy
,Heavy flavor kinetics in hot QCD,Valeriya Mykhaylova,Jagiellonian University in Kraków & University of Wrocław,Italy
,Reconstruction of J/ѱ Mesons via Dimuon decay channel using Machine Learning Technique for the CBM Experiment at FAIR,Abhishek Kumar  Sharma,"Aligarh Muslim University, Aligarh",USA
,Machine learning in heavy ions properties and ultra-central nuclear collisions,Yiming Huang (Speaker),Fudan University,Italy
,An open quantum Lindblad evolution of quarkonia coupled to full relativistic transport description of QGP,Gabriele Coci,"Università di Catania, Dipartimento di Fisica e Astronomia ""E. Majorana""",Italy
,Bulk evolution of linearized fluctuations,Jakub Sterba,No affiliation,Unknown
,Baryon fluctuations and ratios of light nuclei at a high-density phase transition,Christoph Herold,Suranaree University of Technology,Italy
,Ultracentral p+Pb collision : A nice probe of multiplicity fluctuations and rapidity decorrelations in small systems,Rupam Samanta,"AGH University of Krakow, Poland",Italy
,Bayesian analysis of a (3+1)D hybrid approach with initial conditions from hadronic transport in the BES energy range,Niklas Götz,No affiliation,Unknown
,Spin Polarization in Heavy-Ion Collisions: Effects of Late-Stage Spin Dynamics,Nils Sass,No affiliation,Unknown
,Heavy Quark Energy Loss and Recombination within the Hybrid Model,Jean Du Plessis,No affiliation,Unknown
,Study of net-proton and net-kaon fluctuations in FAIR energies using the PHQMD model,Rudrapriya Das,Bose Institute,Italy
,Heavy quarks in the pre-equilibrium stage of relativistic nuclear collisions,Pooja Pooja,University of Jyväskylä,Italy
,Spin Alignment of Vector Meson as a Probe of Anisotropy,Xin-Li Sheng,"INFN Firenze, Italy",Italy
